PERIODO,TERRITORIO,PATOLOGIA,MASCHI,FEMMINE
2009-2017,081004,Tumori maligni del pancreas,8,8
2009-2017,081004,Tumori maligni della laringe e della trachea/bronchi/polm.,47,7
2009-2017,081004,Tumori maligni della cute,3,2
2009-2017,081004,Tumori maligni del seno,0,27
2009-2017,081004,Tumori maligni della cervice uterina,0,1
2009-2017,081004,Tumori maligni di altre parti dell'utero,0,3
2009-2017,081004,Tumori maligni dell'ovaio,0,5
2009-2017,081004,Tumori maligni della prostata,19,0
2009-2017,081004,Tumori maligni del rene,2,0
2009-2017,081004,Tumori maligni della vescica,16,4
2009-2017,081004,Tumori maligni del tessuto linfatico/ematopoietico,19,11
2009-2017,081004,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,3,3
2009-2017,081004,"Malattie endocrine, nutrizionali e metaboliche",36,55
2009-2017,081004,Diabete mellito,33,53
2009-2017,081004,Disturbi psichici e comportamentali,18,30
2009-2017,081004,Malattie del sistema nervoso e degli organi di senso,25,22
2009-2017,081004,Malattie del sistema circolatorio,309,321
2009-2017,081004,Malattie ischemiche del cuore,105,69
2009-2017,081004,Altre malattie del cuore,40,30
2009-2017,081004,Malattie cerebrovascolari,101,150
2009-2017,081004,Malattie del sistema respiratorio,49,26
2009-2017,081004,Polmonite,4,3
2009-2017,081004,Malattie croniche delle basse vie respiratorie,33,17
2009-2017,081004,Asma,0,2
2009-2017,081004,Malattie dell'apparato digerente,16,17
2009-2017,081004,Malattie epatiche croniche,8,5
2009-2017,081004,Malattie della pelle e del tessuto sottocutaneo,1,0
2009-2017,081004,Malattie del sistema osteomuscolare e del tessuto connettivo,0,2
2009-2017,081004,Artrite reumatoide e osteoartrite,0,1
2009-2017,081004,Malattie del sistema genitourinario,13,19
2009-2017,081004,Malattie del rene e dell'uretere,12,19
2009-2017,081004,Alcune condizioni che hanno origine nel periodo perinatale,2,0
2009-2017,081004,Malformazioni congenite e anormalità cromosomiche,1,3
2009-2017,081004,Malformazioni congenite del sistema nervoso,0,1
2009-2017,081004,Malformazioni congenite del sistema circolatorio,0,1
2009-2017,081004,"Sintomi, segni, risultati anomali e cause mal definite",8,4
2009-2017,081004,Cause sconosciute e non specificate,1,1
2009-2017,081004,Cause esterne di traumatismo e avvelenamento,30,13
2009-2017,081004,Accidenti,22,7
2009-2017,081004,Accidenti di trasporto,6,0
2009-2017,081004,Cadute accidentali,8,5
2009-2017,081004,Avvelenamento accidentale,1,0
2009-2017,081004,Suicidio e autolesione intenzionale,5,3
2009-2017,081004,"Omicidio, aggressione",1,0
2009-2017,081004,Eventi di intento indeterminato,2,2
2009-2017,081005,Malattie infettive e parassitarie,2,1
2009-2017,081005,Tubercolosi,1,0
2009-2017,081005,Tumore,175,170
2009-2017,081005,Tumori maligni,169,168
2009-2017,081005,"Tumori maligni delle labbra, cavità orale e faringe",2,4
2009-2017,081005,Tumori maligni dell'esofago,0,1
2009-2017,081005,Tumori maligni dello stomaco,6,3
2009-2017,081005,Tumori maligni del colon,11,24
2009-2017,081005,Tumori maligni del retto e dell'ano,5,2
2009-2017,081005,Tumori maligni del fegato e dei dotti biliari intraepatici,14,10
2009-2017,081005,Tumori maligni del pancreas,12,9
2009-2017,081005,Tumori maligni della laringe e della trachea/bronchi/polm.,43,10
2009-2017,081005,Tumori maligni della cute,2,0
2009-2017,081005,Tumori maligni del seno,0,33
2009-2017,081005,Tumori maligni della cervice uterina,0,2
2009-2017,081005,Tumori maligni di altre parti dell'utero,0,15
2009-2017,081005,Tumori maligni dell'ovaio,0,3
2009-2017,081005,Tumori maligni della prostata,17,0
2009-2017,081005,Tumori maligni del rene,4,2
2009-2017,081005,Tumori maligni della vescica,13,2
2009-2017,081005,Tumori maligni del tessuto linfatico/ematopoietico,22,23
2009-2017,081005,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,3,4
2009-2017,081005,"Malattie endocrine, nutrizionali e metaboliche",32,44
2009-2017,081005,Diabete mellito,28,43
2009-2017,081005,Disturbi psichici e comportamentali,10,24
2009-2017,081005,Malattie del sistema nervoso e degli organi di senso,18,23
2009-2017,081005,Malattie del sistema circolatorio,304,378
2009-2017,081005,Malattie ischemiche del cuore,90,57
2009-2017,081005,Altre malattie del cuore,47,53
2009-2017,081005,Malattie cerebrovascolari,116,182
2009-2017,081005,Malattie del sistema respiratorio,35,21
2009-2017,081005,Polmonite,5,3
2009-2017,081005,Malattie croniche delle basse vie respiratorie,24,11
2009-2017,081005,Asma,0,1
2009-2017,081005,Malattie dell'apparato digerente,24,31
2009-2017,081005,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,081005,Malattie epatiche croniche,15,14
2009-2017,081005,Malattie del sistema osteomuscolare e del tessuto connettivo,1,3
2009-2017,081005,Artrite reumatoide e osteoartrite,0,1
2009-2017,081005,Malattie del sistema genitourinario,21,25
2009-2017,081005,Malattie del rene e dell'uretere,19,25
2009-2017,081005,Alcune condizioni che hanno origine nel periodo perinatale,2,1
2009-2017,081005,Malformazioni congenite e anormalità cromosomiche,1,1
2009-2017,081005,Malformazioni congenite del sistema circolatorio,1,0
2009-2017,081005,"Sintomi, segni, risultati anomali e cause mal definite",2,9
2009-2017,081005,Cause esterne di traumatismo e avvelenamento,40,26
2009-2017,081005,Accidenti,30,24
2009-2017,081005,Accidenti di trasporto,5,1
2009-2017,081005,Cadute accidentali,15,22
2009-2017,081005,Suicidio e autolesione intenzionale,5,1
2009-2017,081005,Eventi di intento indeterminato,5,1
2009-2017,081006,Malattie infettive e parassitarie,7,6
2009-2017,081006,Tubercolosi,1,0
2009-2017,081006,Epatite virale,2,1
2009-2017,081006,Tumore,428,323
2009-2017,081006,Tumori maligni,420,312
2009-2017,081006,"Tumori maligni delle labbra, cavità orale e faringe",8,4
2009-2017,081006,Tumori maligni dell'esofago,2,0
2009-2017,081006,Tumori maligni dello stomaco,14,9
2009-2017,081006,Tumori maligni del colon,46,33
2009-2017,081006,Tumori maligni del retto e dell'ano,12,12
2009-2017,081006,Tumori maligni del fegato e dei dotti biliari intraepatici,25,20
2009-2017,081006,Tumori maligni del pancreas,26,12
2009-2017,081006,Tumori maligni della laringe e della trachea/bronchi/polm.,107,31
2009-2017,081006,Tumori maligni della cute,6,3
2009-2017,081006,Tumori maligni del seno,0,72
2009-2017,081006,Tumori maligni di altre parti dell'utero,0,11
2009-2017,081006,Tumori maligni dell'ovaio,0,12
2009-2017,081006,Tumori maligni della prostata,40,0
2009-2017,081006,Tumori maligni del rene,11,3
2009-2017,081006,Tumori maligni della vescica,23,5
2009-2017,081006,Tumori maligni del tessuto linfatico/ematopoietico,44,29
2009-2017,081006,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,5,11
2009-2017,081006,"Malattie endocrine, nutrizionali e metaboliche",81,105
2009-2017,081006,Diabete mellito,71,101
2009-2017,081006,Disturbi psichici e comportamentali,46,91
2009-2017,081006,Malattie del sistema nervoso e degli organi di senso,47,37
2009-2017,081006,Meningite (diverso da 03),0,1
2009-2017,081006,Malattie del sistema circolatorio,473,647
2009-2017,081006,Malattie ischemiche del cuore,153,130
2009-2017,081006,Altre malattie del cuore,74,84
2009-2017,081006,Malattie cerebrovascolari,126,230
2009-2017,081006,Malattie del sistema respiratorio,104,85
2009-2017,081006,Influenza,1,0
2009-2017,081006,Polmonite,12,19
2009-2017,081006,Malattie croniche delle basse vie respiratorie,78,48
2009-2017,081006,Asma,1,0
2009-2017,081006,Malattie dell'apparato digerente,50,69
2009-2017,081006,"Ulcera dello stomaco, duodeno e digiuno",2,2
2009-2017,081006,Malattie epatiche croniche,29,35
2009-2017,081006,Malattie della pelle e del tessuto sottocutaneo,0,2
2009-2017,081006,Malattie del sistema osteomuscolare e del tessuto connettivo,3,2
2009-2017,081006,Artrite reumatoide e osteoartrite,2,0
2009-2017,081006,Malattie del sistema genitourinario,37,44
2009-2017,081006,Malattie del rene e dell'uretere,35,43
2009-2017,081006,Alcune condizioni che hanno origine nel periodo perinatale,1,2
2009-2017,081006,Malformazioni congenite e anormalità cromosomiche,4,8
2009-2017,081006,Malformazioni congenite del sistema nervoso,0,2
2009-2017,081006,Malformazioni congenite del sistema circolatorio,1,3
2009-2017,081006,"Sintomi, segni, risultati anomali e cause mal definite",9,19
2009-2017,081006,Cause sconosciute e non specificate,1,0
2009-2017,081006,Cause esterne di traumatismo e avvelenamento,72,49
2009-2017,081006,Accidenti,51,39
2009-2017,081006,Accidenti di trasporto,18,4
2009-2017,081006,Cadute accidentali,20,25
2009-2017,081006,Suicidio e autolesione intenzionale,12,6
2009-2017,081006,"Omicidio, aggressione",3,0
2009-2017,081006,Eventi di intento indeterminato,5,4
2009-2017,081007,Tumore,67,38
2009-2017,081007,Tumori maligni,64,37
2009-2017,081007,Tumori maligni dell'esofago,1,1
2009-2017,081007,Tumori maligni dello stomaco,1,0
2009-2017,081007,Tumori maligni del colon,6,9
2009-2017,081007,Tumori maligni del retto e dell'ano,4,1
2009-2017,081007,Tumori maligni del fegato e dei dotti biliari intraepatici,2,0
2009-2017,081007,Tumori maligni del pancreas,3,2
2009-2017,081007,Tumori maligni della laringe e della trachea/bronchi/polm.,25,4
2009-2017,081007,Tumori maligni della cute,1,0
2009-2017,081007,Tumori maligni del seno,0,6
2009-2017,081007,Tumori maligni di altre parti dell'utero,0,3
2009-2017,081007,Tumori maligni della prostata,3,0
2009-2017,081007,Tumori maligni del rene,0,2
2009-2017,081007,Tumori maligni della vescica,3,1
2009-2017,081007,Tumori maligni del tessuto linfatico/ematopoietico,3,4
2009-2017,081007,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,2,2
2009-2017,081007,"Malattie endocrine, nutrizionali e metaboliche",9,11
2009-2017,081007,Diabete mellito,9,10
2009-2017,081007,Disturbi psichici e comportamentali,6,10
2009-2017,081007,Malattie del sistema nervoso e degli organi di senso,9,15
2009-2017,081007,Malattie del sistema circolatorio,80,107
2009-2017,081007,Malattie ischemiche del cuore,22,13
2009-2017,081007,Altre malattie del cuore,19,25
2009-2017,081007,Malattie cerebrovascolari,29,44
2009-2017,081007,Malattie del sistema respiratorio,25,12
2009-2017,081007,Malattie croniche delle basse vie respiratorie,22,10
2009-2017,081007,Malattie dell'apparato digerente,9,7
2009-2017,081007,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,081007,Malattie epatiche croniche,2,4
2009-2017,081007,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,081007,Malattie del sistema genitourinario,12,13
2009-2017,081007,Malattie del rene e dell'uretere,12,13
2009-2017,081007,Alcune condizioni che hanno origine nel periodo perinatale,0,2
2009-2017,081007,Malformazioni congenite e anormalità cromosomiche,2,0
2009-2017,081007,Malformazioni congenite del sistema nervoso,1,0
2009-2017,081007,"Sintomi, segni, risultati anomali e cause mal definite",0,1
2009-2017,081007,Cause esterne di traumatismo e avvelenamento,17,6
2009-2017,081007,Accidenti,12,5
2009-2017,081007,Accidenti di trasporto,3,0
2009-2017,081007,Cadute accidentali,6,3
2009-2017,081007,Suicidio e autolesione intenzionale,4,1
2009-2017,081007,Eventi di intento indeterminato,1,0
2009-2017,081008,Malattie infettive e parassitarie,9,5
2009-2017,081008,Tubercolosi,4,0
2009-2017,081008,Tumore,379,265
2009-2017,081008,Tumori maligni,367,259
2009-2017,081008,"Tumori maligni delle labbra, cavità orale e faringe",5,4
2009-2017,081008,Tumori maligni dell'esofago,6,1
2009-2017,081008,Tumori maligni dello stomaco,20,6
2009-2017,081008,Tumori maligni del colon,31,26
2009-2017,081008,Tumori maligni del retto e dell'ano,7,8
2009-2017,081008,Tumori maligni del fegato e dei dotti biliari intraepatici,15,6
2009-2017,081008,Tumori maligni del pancreas,20,21
2009-2017,081008,Tumori maligni della laringe e della trachea/bronchi/polm.,113,24
2009-2017,081008,Tumori maligni della cute,6,2
2009-2017,081008,Tumori maligni del seno,0,53
2009-2017,081008,Tumori maligni della cervice uterina,0,2
2009-2017,081008,Tumori maligni di altre parti dell'utero,0,14
2009-2017,081008,Tumori maligni dell'ovaio,0,12
2009-2017,081008,Tumori maligni della prostata,41,0
2009-2017,081008,Tumori maligni del rene,10,3
2009-2017,081008,Tumori maligni della vescica,21,2
2009-2017,081008,Tumori maligni del tessuto linfatico/ematopoietico,32,30
2009-2017,081008,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,7,6
2009-2017,081008,"Malattie endocrine, nutrizionali e metaboliche",75,92
2009-2017,081008,Diabete mellito,71,87
2009-2017,081008,Disturbi psichici e comportamentali,31,63
2009-2017,081008,Malattie del sistema nervoso e degli organi di senso,33,42
2009-2017,081008,Malattie del sistema circolatorio,404,523
2009-2017,081008,Malattie ischemiche del cuore,141,124
2009-2017,081008,Altre malattie del cuore,59,88
2009-2017,081008,Malattie cerebrovascolari,119,182
2009-2017,081008,Malattie del sistema respiratorio,89,50
2009-2017,081008,Polmonite,9,6
2009-2017,081008,Malattie croniche delle basse vie respiratorie,51,28
2009-2017,081008,Asma,1,0
2009-2017,081008,Malattie dell'apparato digerente,39,47
2009-2017,081008,"Ulcera dello stomaco, duodeno e digiuno",2,5
2009-2017,081008,Malattie epatiche croniche,18,10
2009-2017,081008,Malattie del sistema osteomuscolare e del tessuto connettivo,1,11
2009-2017,081008,Artrite reumatoide e osteoartrite,0,8
2009-2017,081008,Malattie del sistema genitourinario,44,28
2009-2017,081008,Malattie del rene e dell'uretere,41,26
2009-2017,081008,Alcune condizioni che hanno origine nel periodo perinatale,4,0
2009-2017,081008,Malformazioni congenite e anormalità cromosomiche,3,4
2009-2017,081008,Malformazioni congenite del sistema nervoso,0,1
2009-2017,081008,Malformazioni congenite del sistema circolatorio,1,3
2009-2017,081008,"Sintomi, segni, risultati anomali e cause mal definite",22,16
2009-2017,081008,Cause esterne di traumatismo e avvelenamento,57,44
2009-2017,081008,Accidenti,44,42
2009-2017,081008,Accidenti di trasporto,10,3
2009-2017,081008,Cadute accidentali,23,30
2009-2017,081008,Suicidio e autolesione intenzionale,7,0
2009-2017,081008,Eventi di intento indeterminato,4,2
2009-2017,081009,Malattie infettive e parassitarie,1,1
2009-2017,081009,Epatite virale,1,0
2009-2017,081009,Tumore,64,48
2009-2017,081009,Tumori maligni,63,44
2009-2017,081009,"Tumori maligni delle labbra, cavità orale e faringe",2,1
2009-2017,081009,Tumori maligni dello stomaco,1,1
2009-2017,081009,Tumori maligni del colon,5,7
2009-2017,081009,Tumori maligni del retto e dell'ano,2,0
2009-2017,081009,Tumori maligni del fegato e dei dotti biliari intraepatici,1,1
2009-2017,081009,Tumori maligni del pancreas,2,4
2009-2017,081009,Tumori maligni della laringe e della trachea/bronchi/polm.,18,3
2009-2017,081009,Tumori maligni della cute,2,3
2009-2017,081009,Tumori maligni del seno,0,8
2009-2017,081009,Tumori maligni di altre parti dell'utero,0,2
2009-2017,081009,Tumori maligni dell'ovaio,0,4
2009-2017,081009,Tumori maligni della prostata,9,0
2009-2017,081009,Tumori maligni del rene,2,0
2009-2017,081009,Tumori maligni della vescica,6,0
2009-2017,081009,Tumori maligni del tessuto linfatico/ematopoietico,2,3
2009-2017,081009,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,2,2
2009-2017,081009,"Malattie endocrine, nutrizionali e metaboliche",12,10
2009-2017,081009,Diabete mellito,11,8
2009-2017,081009,Disturbi psichici e comportamentali,4,6
2009-2017,081009,Malattie del sistema nervoso e degli organi di senso,1,9
2009-2017,081009,Malattie del sistema circolatorio,85,115
2009-2017,081009,Malattie ischemiche del cuore,30,22
2009-2017,081009,Altre malattie del cuore,17,15
2009-2017,081009,Malattie cerebrovascolari,21,42
2009-2017,081009,Malattie del sistema respiratorio,9,7
2009-2017,081009,Malattie croniche delle basse vie respiratorie,8,4
2009-2017,081009,Asma,1,0
2009-2017,081009,Malattie dell'apparato digerente,9,3
2009-2017,081009,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,081009,Malattie epatiche croniche,4,0
2009-2017,081009,Malattie del sistema osteomuscolare e del tessuto connettivo,1,0
2009-2017,081009,Malattie del sistema genitourinario,6,5
2009-2017,081009,Malattie del rene e dell'uretere,5,5
2009-2017,081009,"Sintomi, segni, risultati anomali e cause mal definite",3,2
2009-2017,081009,Cause esterne di traumatismo e avvelenamento,9,5
2009-2017,081009,Accidenti,8,4
2009-2017,081009,Accidenti di trasporto,2,0
2009-2017,081009,Cadute accidentali,3,3
2009-2017,081009,Suicidio e autolesione intenzionale,0,1
2009-2017,081009,Eventi di intento indeterminato,1,0
2009-2017,081010,Malattie infettive e parassitarie,1,1
2009-2017,081010,Tumore,79,50
2009-2017,081010,Tumori maligni,75,45
2009-2017,081010,"Tumori maligni delle labbra, cavità orale e faringe",2,0
2009-2017,081010,Tumori maligni dell'esofago,1,1
2009-2017,081010,Tumori maligni dello stomaco,2,2
2009-2017,081010,Tumori maligni del colon,4,5
2009-2017,081010,Tumori maligni del retto e dell'ano,3,1
2009-2017,081010,Tumori maligni del fegato e dei dotti biliari intraepatici,4,1
2009-2017,081010,Tumori maligni del pancreas,3,0
2009-2017,081010,Tumori maligni della laringe e della trachea/bronchi/polm.,24,7
2009-2017,081010,Tumori maligni della cute,0,1
2009-2017,081010,Tumori maligni del seno,0,10
2009-2017,081010,Tumori maligni della cervice uterina,0,1
2009-2017,081010,Tumori maligni di altre parti dell'utero,0,5
2009-2017,081010,Tumori maligni dell'ovaio,0,3
2009-2017,081010,Tumori maligni della prostata,7,0
2009-2017,081010,Tumori maligni del rene,3,0
2009-2017,081010,Tumori maligni della vescica,6,0
2009-2017,081010,Tumori maligni del tessuto linfatico/ematopoietico,8,4
2009-2017,081010,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,0,4
2009-2017,081010,"Malattie endocrine, nutrizionali e metaboliche",15,11
2009-2017,081010,Diabete mellito,13,8
2009-2017,081010,Disturbi psichici e comportamentali,4,17
2009-2017,081010,Malattie del sistema nervoso e degli organi di senso,3,8
2009-2017,081010,Malattie del sistema circolatorio,108,125
2009-2017,081010,Malattie ischemiche del cuore,25,10
2009-2017,081010,Altre malattie del cuore,15,16
2009-2017,081010,Malattie cerebrovascolari,51,66
2009-2017,081010,Malattie del sistema respiratorio,16,9
2009-2017,081010,Polmonite,2,4
2009-2017,081010,Malattie croniche delle basse vie respiratorie,12,2
2009-2017,081010,Malattie dell'apparato digerente,4,10
2009-2017,081010,"Ulcera dello stomaco, duodeno e digiuno",0,2
2009-2017,081010,Malattie epatiche croniche,3,1
2009-2017,081010,Malattie del sistema osteomuscolare e del tessuto connettivo,0,3
2009-2017,081010,Malattie del sistema genitourinario,6,6
2009-2017,081010,Malattie del rene e dell'uretere,6,6
2009-2017,081010,"Sintomi, segni, risultati anomali e cause mal definite",2,3
2009-2017,081010,Cause esterne di traumatismo e avvelenamento,14,8
2009-2017,081010,Accidenti,10,8
